catalog_id,artist,title,price,quantity
AP14024,GG ,1 Shot,15.00,
AP4008,Grand Theft Audio Print ,V is for Victory,5.00,
AP14025,HD,Mobb Marley II,20.00,
AP14106,J. Stalin,Miracle On 10th Street (2 Disc),26.00,
AP14017,J. Stalin ,Return of The Body Snatchers,24.00,
AP14101,J. Stalin ,Down To The Wire,20.00,
B10011,J. Stalin & Young Doe,Diesel Therapy,16.99,
AP12053,JASPER LOCO,EASTSIDE ASSASSIN,15.00,4
AP400000,Jelly Rolls Recording Studio,#1,15.00,
AP400100,Jelly Rolls Recording Studio,#2,15.00,
AP400200,Jelly Rolls Recording Studio,#3,15.00,
AP400300,Jelly Rolls Recording Studio,#4,15.00,
AP12211,Knight Owl ,Armed and Dangerous,15.00,10
AP12009,Lee Majors,Ace Of Cake 2,12.00,0
AP120090,Lee Majors,Ace Of Cake 3: The Kush Pack,12.00,5
AP12006,Lee Majors,D-Boy Muzik,12.00,2
AP12008,Lee Majors,Paper Bag Money,12.00,0
AP12007,Lee Majors,The Gobots 2,12.00,3
AP14013,Lee Majors,What Mobsters Do...,15.00,5
AP120091,Lee Majors,The Six Million Dollar Man,15.00,5
??????,Lee Majors,Money On My Mind,15.00,4
AP14012,Lee Majors and Boss Tone,Next Day Air,15.00,5
AP120780,LIL BLACKY & LIL SICKO,SOUTHLAND BALLIN,15.00,5
AP14100,Lil Coner,Day Of The Dead,15.00,17
AP13057,Lil Spank Booty,Early Release,15.00,22
AP14040,Machete,Cash Me Out,15.00,
AP14016,Mechey Belly,805 Heartbeats,15.00,
AP14017,Mechey Belly,Cursewords & Melodies,15.00,
AP14099,Mitchy Slick,Feet Match The Paint,15.00,2
AP14022,Mitchy Slick ,Mitchy Duz It,15.00,
AP14021,Mitchy Slick ,Triggeration Station,15.00,
AP12210,MS. KRAZIE,BROWN IS BEAUTIFUL,15.00,4
AP12211,MS. KRAZIE,FIRME HOMEGIRL OLDIES,15.00,5
AP12200,MS. KRAZIE,SMILE NOW CRY NEVER,15.00,4
AP4051,Nuf Ced,Young Life,12.00,
AP12019,Nuff Ced,1987,12.00,
AP14015,Papa San ,I Love This S***,15.00,
AP12046,PAYASO,HIT LIST 2,14.00,1
AP120770,PAYASO,TRUE BLUE,15.00,6
AP100340,PAYASO,HIT LIST 2,15.00,1
AP14042,Psycho Soul Rare Oldies,Psycho Soul Rare Oldies,33.99,15
AP13058,RBL Posse,20th Anniversary 3 Disc Box Set,23.00,3
AP14035,Reek B,Comin Out Hard ,15.00,
AP14029,Reek B,Inflatin,15.00,
AP14031,Reek B,King Of The O pt 1,15.00,
AP14032,Reek B,King Of The O pt 2,20.00,
AP14033,Reek B,Legend In The Makin pt 1,15.00,
AP14034,Reek B,Legend In The Makin pt 2,15.00,
AP14030,Reek B,Still Inflatin,15.00,
AP12348,Sangre Mala,Seguimos Representando,15.00,4
AP14023,Sean Deez ,Ballin Vs. Rich Vs. Wealthy,15.00,2
